Transaction_ID,Date,Branch,Product_Category,Product_Name,Unit_Price,Quantity,Total_Price_Before_Disc,Discount_Amount,Net_Sales,Customer_Type,Payment_Method,Satisfaction_Score,Return_Flag
TXN-20240090,1/1/2024,Bangkok Main,Home & Living,Air Purifier,4200,1,4200,0,4200,Member,Cash,3,No
TXN-20240474,1/1/2024,Khon Kaen,Home & Living,Desk Lamp,790,2,1580,0,1580,Regular,QR Code,5,No
TXN-20240580,1/1/2024,Chiang Mai,Home & Living,Bed Sheet Set,1800,2,3600,0,3600,Regular,Cash,5,No
TXN-20240820,1/1/2024,Phuket,Home & Living,Ceramic Vase,550,1,550,0,550,Regular,Credit Card,3,No
TXN-20240834,1/1/2024,Phuket,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Member,Credit Card,5,No
TXN-20240975,1/1/2024,Bangkok Main,Electronics,Smartphone X1,25000,1,25000,1250,23750,VIP,QR Code,5,No
TXN-20241397,1/1/2024,Bangkok Main,Electronics,Headphones Pro,5500,1,5500,0,5500,Member,Cash,3,No
TXN-20240066,1/2/2024,Phuket,Fashion,Denim Jeans,1200,2,2400,0,2400,Member,Credit Card,3,No
TXN-20240080,1/2/2024,Khon Kaen,Home & Living,Desk Lamp,790,2,1580,79,1501,VIP,Credit Card,4,No
TXN-20240436,1/2/2024,Bangkok Sathorn,Electronics,Headphones Pro,5500,1,5500,0,5500,Member,Cash,5,No
TXN-20241127,1/2/2024,Phuket,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Cash,1,Yes
TXN-20241230,1/2/2024,Bangkok Main,Fashion,Denim Jeans,1200,3,3600,0,3600,Regular,QR Code,4,No
TXN-20241378,1/2/2024,Bangkok Main,Electronics,Headphones Pro,5500,1,5500,0,5500,Regular,Cash,2,Yes
TXN-20241493,1/2/2024,Khon Kaen,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,Cash,4,No
TXN-20240749,1/3/2024,Bangkok Main,Fashion,Denim Jeans,1200,1,1200,0,1200,Member,Credit Card,4,No
TXN-20240791,1/3/2024,Bangkok Main,Home & Living,Coffee Maker,3500,1,3500,0,3500,Member,Credit Card,2,No
TXN-20241131,1/3/2024,Chiang Mai,Home & Living,Ceramic Vase,550,2,1100,0,1100,Regular,Cash,1,No
TXN-20241350,1/3/2024,Phuket,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Credit Card,3,No
TXN-20240324,1/4/2024,Chiang Mai,Home & Living,Bed Sheet Set,1800,2,3600,0,3600,Regular,Cash,5,No
TXN-20240338,1/4/2024,Phuket,Fashion,Formal Shirt,890,2,1780,0,1780,Regular,Credit Card,4,No
TXN-20240495,1/4/2024,Khon Kaen,Electronics,Headphones Pro,5500,3,16500,0,16500,Regular,Credit Card,2,Yes
TXN-20240057,1/5/2024,Bangkok Sathorn,Electronics,Tablet Air,18500,1,18500,0,18500,Member,QR Code,3,No
TXN-20241342,1/5/2024,Bangkok Sathorn,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Credit Card,3,No
TXN-20240004,1/6/2024,Khon Kaen,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,Credit Card,3,No
TXN-20240247,1/6/2024,Bangkok Main,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Cash,3,No
TXN-20241318,1/6/2024,Bangkok Sathorn,Fashion,Leather Bag,3500,1,3500,0,3500,Regular,Cash,5,No
TXN-20240041,1/7/2024,Phuket,Fashion,Summer T-Shirt,450,1,450,0,450,Regular,Cash,4,No
TXN-20240449,1/7/2024,Chiang Mai,Home & Living,Bed Sheet Set,1800,1,1800,0,1800,Regular,Cash,5,No
TXN-20240472,1/7/2024,Chiang Mai,Electronics,Smartphone X1,25000,2,50000,0,50000,Member,Cash,3,No
TXN-20240471,1/8/2024,Chiang Mai,Electronics,Smart Watch V2,8900,2,17800,0,17800,Regular,Credit Card,5,No
TXN-20240934,1/8/2024,Khon Kaen,Electronics,Smartphone X1,25000,2,50000,0,50000,Regular,QR Code,4,No
TXN-20241474,1/8/2024,Bangkok Main,Home & Living,Air Purifier,4200,3,12600,0,12600,Member,Credit Card,2,No
TXN-20240483,1/9/2024,Bangkok Main,Fashion,Summer T-Shirt,450,1,450,0,450,Member,Credit Card,3,No
TXN-20240682,1/9/2024,Chiang Mai,Home & Living,Air Purifier,4200,3,12600,630,11970,VIP,QR Code,5,No
TXN-20240866,1/9/2024,Bangkok Sathorn,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Credit Card,5,No
TXN-20240945,1/9/2024,Chiang Mai,Home & Living,Coffee Maker,3500,1,3500,0,3500,Member,QR Code,4,No
TXN-20240075,1/10/2024,Khon Kaen,Home & Living,Coffee Maker,3500,2,7000,0,7000,Member,Credit Card,1,No
TXN-20240752,1/10/2024,Bangkok Main,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,Cash,5,No
TXN-20240616,1/11/2024,Bangkok Main,Home & Living,Desk Lamp,790,1,790,0,790,Member,Credit Card,1,No
TXN-20240985,1/11/2024,Bangkok Main,Electronics,Tablet Air,18500,1,18500,0,18500,Regular,Cash,4,No
TXN-20240065,1/12/2024,Bangkok Main,Fashion,Sneakers Run,2500,2,5000,250,4750,VIP,Cash,3,No
TXN-20240745,1/12/2024,Chiang Mai,Fashion,Formal Shirt,890,2,1780,0,1780,Regular,Cash,4,No
TXN-20240846,1/12/2024,Bangkok Main,Fashion,Formal Shirt,890,1,890,0,890,Regular,Cash,3,No
TXN-20240897,1/12/2024,Phuket,Electronics,Laptop Pro 14,45000,5,225000,0,225000,Regular,Cash,5,No
TXN-20240933,1/12/2024,Bangkok Main,Fashion,Leather Bag,3500,4,14000,0,14000,Regular,QR Code,4,No
TXN-20241244,1/12/2024,Bangkok Sathorn,Fashion,Leather Bag,3500,2,7000,0,7000,Regular,Cash,5,No
TXN-20240504,1/13/2024,Chiang Mai,Home & Living,Coffee Maker,3500,1,3500,0,3500,Regular,Cash,4,No
TXN-20240213,1/14/2024,Khon Kaen,Electronics,Smart Watch V2,8900,1,8900,0,8900,Regular,QR Code,2,Yes
